4979;"NEW HEADWAY FOURTH EDITION ELEMENTARY STUDENT'S BOOK : udžbenik engleskog jezika za 1. razred trogodišnjih strukovnih škola, prvi strani jezik; 1. razred 4-godišnjih strukovnih škola i gimnazija, drugi strani jezik";Liz Soars, John Soars;udžbenik;101,00;OXFORD;Novo;1. razred srednje škole
4980;"NEW HEADWAY FOURTH EDITION ELEMENTARY WORKBOOK : radna bilježnica za engleski jezik, 1. razred trogodišnjih strukovnih škola, prvi strani jezik; 1. razred 4-godišnjih strukovnih škola i gimnazija, drugi strani jezik";Liz Soars, John Soars;radna bilježnica;62,00;OXFORD;Novo;1. razred srednje škole
4803;DIREKT NEU 1 : udžbenik i radna bilježnica u jednom svesku za 1. razred gimnazija i strukovnih škola, za početno (1. godina učenja) kao i za napredno učenje (6. godina učenja) sa audio CD-om;"Giorgio Motta, Beata Ćwikowska, Olga Vomáčková, Tomáš Černý; suradnica u preradi: Blaženka Abramović";udžbenik i radna bilježnica s CD-om;129,00;KLETT;Novo;1. razred srednje škole
5888;ETIKA 1 - SMISAO I ORIJENTACIJA : udžbenik u prvom razredu gimnazija i srednjih škola;Bruno Ćurko, Igor Lukić, Marko Zec, Marina Katinić;udžbenik;89,00;ŠK;Novo;1. razred srednje škole
1708;TRAŽITELJI SMISLA : udžbenik vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
5346;HRVATSKI JEZIK I KNJIŽEVNOST 1 : integrirani udžbenik hrvatskog jezika i književnosti u prvom razredu trogodišnje srednje strukovne škole;Andreja Jureković Perković, Marija Matković;udžbenik;119,00;ŠK;Novo;1. razred srednje škole
5347;HRVATSKI JEZIK I KNJIŽEVNOST 1 : radna bilježnica za hrvatski jezik i književnost u prvom razredu trogodišnje srednje strukovne škole;Andreja Jureković Perković, Marija Matković;radna bilježnica;49,00;ŠK;Novo;1. razred srednje škole
4938;MATEMATIKA U STRUCI 1 : udžbenik sa zbirkom zadataka za 1. razred JMO-a;Ivan Mrkjonjić, Snježana Šišić;udžbenik sa zbirkom zadataka;107,10;NEODIDACTA;Novo;1. razred srednje škole
5375;UVOD U RAČUNALSTVO : udžbenik u trogodišnjim strukovnim školama - jednogodišnji program učenja;Predrag Brođanac, Leo Budin, Zlatka Markučić, Smiljana Perić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
1687;HRVATSKA POVIJEST : od doseljenja Hrvata do naših dana : udžbenik povijesti za 1. razred trogodišnjih srednjih strukovnih škola;Vesna Đurić, Ivan Peklić;udžbenik;89,00;PROFIL;;1. razred srednje škole
