Tip ustanove:;Srednja škola;;;;;;
Županija:;Zadarska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
SREDNJA ŠKOLA KNEZA BRANIMIRA, BENKOVAC;;;;;Mišljenje Vijeća roditelja: nije dostavljeno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
3411;BIOLOGIJA : radna bilježnica biologije za srednje ekonomske škole;Mišo Rašan, Krešimir Trojko;radna bilježnica;39,00;ŠK;;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
5390;ČITANKA 1 : čitanka u prvom razredu četverogodišnje srednje strukovne škole;Marija Čurić, Sanja Dužević-Šepac, Žarko Gazzari, Davorka Horvatek-Modrić, Ruža Križan-Sirovica;udžbenik;103,00;ŠK;Novo;1. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
1403;HRVATSKI JEZIK 1 : radna bilježnica hrvatskog jezika za četverogodišnje strukovne škole;Marina Čubrić, Marica Kurtak;radna bilježnica;39,00;ŠK;;1. razred srednje škole
1404;HRVATSKI JEZIK 1 : udžbenik hrvatskog jezika za četverogodišnje strukovne škole;Marina Čubrić, Marica Kurtak;udžbenik;76,00;ŠK;;1. razred srednje škole
MATEMATIKA - ZA ČETVEROGODIŠNJE PROGRAME ;;;;;;;
1600;MATEMATIKA 1 : udžbenik sa zbirkom zadataka za 1. razred ekonomske škole;Đurđica Salamon, Boško Šego;udžbenik sa zbirkom zadataka;105,00;ALKA;;1. razred srednje škole
INFORMATIKA - RAČUNALSTVO ;;;;;;;
5394;INFORMATIKA 1 : udžbenik informatike za 1. razred srednje strukovne škole za zanimanje ekonomist/ekonomistica;Natalija Stjepanek, Vesna Tomić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
KEMIJA - ZA JEDNOGODIŠNJE PROGRAME ;;;;;;;
1654;KEMIJA : udžbenik za 1. razred ekonomskih škola;Antica Petreski, Blanka Sever;udžbenik;97,00;ŠK;;1. razred srednje škole
POVIJEST - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1691;HRVATSKA I SVIJET 1 : udžbenik povijesti za 1. razred četverogodišnjih strukovnih škola;Zdenko Samaržija;udžbenik;97,00;ŠK;;1. razred srednje škole
EKONOMSKE ŠKOLE ;;;;;;;
5414;PODUZETNIŠTVO 1 : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Bernik, Višnja Dorčić-Kereković, Suzana Đurđević, Marija Tolušić, Biserka Viljetić, Bosiljka Vinković Kukolić;udžbenik;99,00;ŠK;Novo;1. razred srednje škole
5406;OSNOVE EKONOMIJE 1 : radna bilježnica u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Jošić, Tatjana Putar, Gordana Zoretić;radna bilježnica;59,00;ŠK;Novo;1. razred srednje škole
5422;RAČUNOVODSTVO 1 : udžbenik za 1. razred srednje škole za zanimanje ekonomist/ekonomistica;Maja Safret, Branka Marić, Ljerka Dragović-Kovač, Dubravka Hržica;udžbenik;89,00;ŠK;Novo;1. razred srednje škole
5404;OBITELJSKI POSAO : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica - izborni predmet;Željko Tintor, Igor Čizmadija;udžbenik;89,00;ŠK;Novo;1. razred srednje škole
5416;POSLOVNE KOMUNIKACIJE 1 : udžbenik za 1. razred srednje škole za zanimanje ekonomist/ekonomistica;Olivera Jurković Majić, Helena Majić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
5423;RAČUNOVODSTVO 1 : radna billježnica za 1. razred srednje škole za zanimanje ekonomist/ekonomistica;Branka Marić, Ljerka Dragović-Kovač;radna bilježnica;59,00;ŠK;Novo;1. razred srednje škole
5405;OSNOVE EKONOMIJE 1 : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Jošić, Josipa Ilić, Anto Mandir, Marija Mesić Škorić, Ivana Plesec, Ivan Režić, Silvija Marinčić-Svetoivanec, Nela Terihaj, Melita Todorović;udžbenik;79,00;ŠK;Novo;1. razred srednje škole
Klesar - JMO - 1. razred srednje škole ;;;;;;;
TEHNIČKE ŠKOLE - PODRUČJE GEOLOGIJE, RUDARSTVA I NAFTE ;;;;;;;
1196;MINERALOGIJA : udžbenik za srednje škole;Vera Babić, Jasenka Takšić, Maja Vrkljan;udžbenik;149,00;ŠK;;1. razred srednje škole
TEHNIČKE ŠKOLE - PODRUČJE GRADITELJSTVA ;;;;;;;
1201;NACRTNA GEOMETRIJA : udžbenik za 1. i 2. razred graditeljskih tehničkih škola;Lana Lipošinović;udžbenik;100,00;ELEMENT;;1. razred srednje škole
1198;GRAĐEVNI MATERIJALI : udžbenik za 1. razred graditeljskih škola;Marin Horvat;udžbenik;79,00;ŠN;;1. razred srednje škole
Opća gimnazija - 1. razred srednje škole ;;;;;;;
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
4479;BAŠTINA RIJEČI 1 : čitanka iz hrvatskoga jezika za prvi razred gimnazije sa separatom: Teorija književnosti;Milivoj Solar, Snježana Zrinjan, Višnja Sorčik;udžbenik;110,00;ALFA;Novo;1. razred srednje škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5502;UČIMO HRVATSKI JEZIK 1 : udžbenik hrvatskog jezika u prvom razredu gimnazije;Marina Čubrić;udžbenik;72,00;ŠK;Novo;1. razred srednje škole
5503;UČIMO HRVATSKI JEZIK 1 : radna bilježnica za hrvatski jezik u prvom razredu gimnazije;Marina Čubrić;radna bilježnica;36,00;ŠK;Novo;1. razred srednje škole
GEOGRAFIJA ;;;;;;;
5489;GEOGRAFIJA 1 : udžbenik geografije u prvom razredu gimnazije;Hermenegildo Gall, Predrag Kralj, Robert Slunjski;udžbenik;105,00;ŠK;Novo;1. razred srednje škole
POVIJEST ;;;;;;;
2739;POVIJEST 1 : udžbenik za 1. razred gimnazije;Damir Mijatović;udžbenik;112,00;ALFA;;1. razred srednje škole
BIOLOGIJA ;;;;;;;
4459;BIOLOGIJA 1 : udžbenik iz biologije za prvi razred gimnazije;Irella Bogut, Snježana Đumlija, Ksenija Lukačević, Mihaela Marceljak Ilić;udžbenik;100,00;ALFA;Novo;1. razred srednje škole
4460;BIOLOGIJA 1 : radna bilježnica iz biologije za prvi razred gimnazije;Irella Bogut, Snježana Đumlija, Ksenija Lukačević, Mihaela Marceljak Ilić;radna bilježnica;60,00;ALFA;Novo;1. razred srednje škole
KEMIJA ;;;;;;;
5512;OPĆA KEMIJA 1 : udžbenik kemije u prvom razredu gimnazije;Dubravka Turčinović, Ivan Halasz;udžbenik;105,00;ŠK;Novo;1. razred srednje škole
5513;OPĆA KEMIJA 1 : zbirka zadataka za kemiju u prvom razredu gimnazije;Ilda Planinić;zbirka zadataka;73,00;ŠK;Novo;1. razred srednje škole
ENGLESKI JEZIK - PRVI STRANI JEZIK ;;;;;;;
4924;"CHOICES INTERMEDIATE : udžbenik engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;1. razred srednje škole
4925;"CHOICES INTERMEDIATE : radna bilježnica engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Rod Fricker;radna bilježnica;65,00;LJEVAK;Novo;1. razred srednje škole
NJEMAČKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
934;zweite.sprache@DEUTSCH.de 1 : radna bilježnica njemačkog kao drugog jezika za 1. razred gimnazija i četverogodišnjih strukovnih škola : 1. godina učenja;Irena Horvatić Čajko, Irena Lasić;radna bilježnica;59,00;ŠK;;1. razred srednje škole
935;zweite.sprache@DEUTSCH.de 1 : udžbenik njemačkog kao drugog jezika za 1. razred gimnazija i četverogodišnjih strukovnih škola : 1. godina učenja;Irena Horvatić Čajko, Irena Lasić;udžbenik;89,00;ŠK;;1. razred srednje škole
TALIJANSKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
993;NUOVO PROGETTO ITALIANO 1 : libro dello studente + CD-ROM : udžbenik talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;udžbenik s CD-om;129,00;VBZ;;1. razred srednje škole
994;NUOVO PROGETTO ITALIANO 1 : quaderno degli esercizi : radna bilježnica iz talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;radna bilježnica;81,00;VBZ;;1. razred srednje škole
MATEMATIKA - ZA OPĆU, JEZIČNU I KLASIČNU GIMNAZIJU ;;;;;;;
5529;MATEMATIKA 1 - 1. DIO : udžbenik matematike sa zbirkom zadataka i višemedijskim nastavnim materijalima u prvom razredu opće, jezične i klasične gimnazije;Jagoda Krajina, Ivica Gusić, Toni Milun, Franka Miriam Brückler;udžbenik sa zbirkom zadataka i višemedijskim nastavnim materijalima;72,00;ŠK;Novo;1. razred srednje škole
5530;MATEMATIKA 1 - 2. DIO : udžbenik matematike sa zbirkom zadataka i višemedijskim nastavnim materijalima u prvom razredu opće, jezične i klasične gimnazije;Jagoda Krajina, Ivica Gusić, Toni Milun, Franka Miriam Brückler;udžbenik sa zbirkom zadataka i višemedijskim nastavnim materijalima;72,00;ŠK;Novo;1. razred srednje škole
FIZIKA - ČETVEROGODIŠNJI GIMNAZIJSKI PROGRAM ;;;;;;;
1070;FIZIKA 1 : udžbenik fizike za 1. razred gimnazije : A-inačica;Vladimir Paar;udžbenik;105,00;ŠK;;1. razred srednje škole
GLAZBENA UMJETNOST - ČETVEROGODIŠNJI PROGRAM ;;;;;;;
2991;GLAZBENI SUSRETI 1. VRSTE : udžbenik glazbene umjetnosti s 3 zvučna CD-a za prvi razred gimnazije;Nataša Perak Lovričević, Ljiljana Ščedrov;udžbenik s 3 zvučna CD-a;105,00;PROFIL;;1. razred srednje škole
LIKOVNA UMJETNOST ;;;;;;;
4491;LIKOVNA UMJETNOST 1 : udžbenik iz likovne umjetnosti za 1. razred srednjih škola s dvogodišnjim i četverogodišnjim programom;Natalija Stipetić-Čus, Zrinka Jurić-Avmedoski, Blanka Petrinec-Fulr, Elen Zubek;udžbenik;105,00;ALFA;Novo;1. razred srednje škole
ETIKA ;;;;;;;
5484;ETIKA 1 - SMISAO I ORIJENTACIJA : udžbenik u prvom razredu gimnazija i srednjih škola;Bruno Ćurko, Igor Lukić, Marko Zec, Marina Katinić;udžbenik;89,00;ŠK;Novo;1. razred srednje škole
LATINSKI JEZIK ;;;;;;;
1006;LINGUAE LATINAE ELEMENTA : udžbenik latinskoga jezika za gimnazije : 1. i 2. godina učenja;Jadranka Bagarić;udžbenik;104,00;ŠK;;1. razred srednje škole
1005;LINGUAE LATINAE ELEMENTA : radna bilježnica uz udžbenik latinskoga jezika : 1. i 2. godina učenja;Jadranka Bagarić;radna bilježnica;52,00;ŠK;;1. razred srednje škole
INFORMATIKA ;;;;;;;
5511;INFORMATIKA 1 : udžbenik informatike u prvom razredu prirodoslovno-matematičke i opće gimnazije te drugom razredu klasične i jezične gimnazije;Predrag Brođanac, Leo Budin, Zlatka Markučić, Smiljana Perić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
Prodavač - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4921;CHOICES ELEMENTARY : radna bilježnica engleskog jezika za 1. i 2. razred ili 1. razred trogodišnjih strukovnih škola, prvi strani jezik. Za 1. razred gimnazija, drugi strani jezik i 1. razred četverogodišnjih strukovnih škola, drugi strani jezik;Rod Fricker;radna bilježnica;69,00;LJEVAK;Novo;1. razred srednje škole
4920;CHOICES ELEMENTARY : udžbenik engleskog jezika za 1. i 2. razred ili 1. razred trogodišnjih strukovnih škola, prvi strani jezik. Za 1. razred gimnazija, drugi strani jezik i 1. razred četverogodišnjih strukovnih škola, drugi strani jezik;Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
HRVATSKI JEZIK - ZA TROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
1379;ČITANKA 1 : udžbenik za 1. razred trogodišnjih strukovnih škola;Snježana Zbukvić-Ožbolt, Snježana Zrinjan;udžbenik;103,00;ŠK;;1. razred srednje škole
HRVATSKI JEZIK - ZA TROGODIŠNJE STRUKOVNE ŠKOLE - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
1385;HRVATSKI JEZIK 1 : udžbenik za 1. razred trogodišnje strukovne škole;Snježana Zrinjan;udžbenik;74,00;ŠK;;1. razred srednje škole
1384;HRVATSKI JEZIK 1 : radna bilježnica za 1. razred trogodišnje strukovne škole;Snježana Zrinjan;radna bilježnica;39,00;ŠK;;1. razred srednje škole
POVIJEST - ZA TROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1688;HRVATSKA POVIJEST : udžbenik povijesti za 1. razred trogodišnjih strukovnih škola;Ivan Dukić, Krešimir Erdelja, Igor Stojaković;udžbenik;97,00;ŠK;;1. razred srednje škole
TEHNIČKE ŠKOLE - PODRUČJE GEOLOGIJE, RUDARSTVA I NAFTE ;;;;;;;
1196;MINERALOGIJA : udžbenik za srednje škole;Vera Babić, Jasenka Takšić, Maja Vrkljan;udžbenik;149,00;ŠK;;1. razred srednje škole
TEHNIČKE ŠKOLE - PODRUČJE GRADITELJSTVA ;;;;;;;
1198;GRAĐEVNI MATERIJALI : udžbenik za 1. razred graditeljskih škola;Marin Horvat;udžbenik;79,00;ŠN;;1. razred srednje škole
1201;NACRTNA GEOMETRIJA : udžbenik za 1. i 2. razred graditeljskih tehničkih škola;Lana Lipošinović;udžbenik;100,00;ELEMENT;;1. razred srednje škole
TRGOVAČKE ŠKOLE ;;;;;;;
5898;KREATIVNOST U POSLOVANJU : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje prodavač/prodavačica i komercijalist/komercijalistica - izborni predmet;Velimir Srića, Sandra Brajnović;udžbenik;99,00;ŠK;Novo;1. razred srednje škole
5354;NABAVNO POSLOVANJE : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje prodavač/prodavačica;Nevenka Hruškar, Sandra Brajnović, Renata Petrović;udžbenik;120,00;ŠK;Novo;1. razred srednje škole
1278;POZNAVANJE PREHRAMBENE ROBE : udžbenik za 1. razred srednje trgovačke škole;Ljiljana Tanay;udžbenik;104,00;ŠK;;1. razred srednje škole
4678;POSLOVANJE PRODAVAONICE : udžbenik za prodavače;Sanda Renko, Suzana Drobnić;udžbenik;80,00;ALKA;Novo;1. razred srednje škole
5899;KREATIVNOST U POSLOVANJU : radna bilježnica u prvom razredu srednjih strukovnih škola za zanimanje prodavač/prodavačica i komercijalist/komercijalistica - izborni predmet;Velimir Srića, Sandra Brajnović;radna bilježnica;63,00;ŠK;Novo;1. razred srednje škole
5355;NABAVNO POSLOVANJE : radna bilježnica u prvom razredu srednjih strukovnih škola za zanimanje prodavač/prodavačica;Nevenka Hruškar, Sandra Brajnović, Renata Petrović;radna bilježnica;67,00;ŠK;Novo;1. razred srednje škole
5378;PRODAJNA KOMUNIKACIJA : udžbenik za 1. razred srednjih strukovnih škola za zanimanje prodavač/prodavačica;Božica Uroić;udžbenik;82,00;ŠK;Novo;1. razred srednje škole
Računalni tehničar za strojarstvo - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4926;"CHOICES INTERMEDIATE : udžbenik engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;1. razred srednje škole
4927;"CHOICES INTERMEDIATE : radna bilježnica engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Rod Fricker;radna bilježnica;65,00;LJEVAK;Novo;1. razred srednje škole
GEOGRAFIJA ;;;;;;;
1671;OPĆA GEOGRAFIJA : udžbenik za 1. razred srednjih strukovnih škola;Ines Kozina, Mate Matas;udžbenik;97,00;ŠK;;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
MATEMATIKA - ZA ČETVEROGODIŠNJE PROGRAME ;;;;;;;
5098;MATEMATIKA 1 : udžbenik i zbirka zadataka iz matematike za prvi razred gimnazije i tehničke škole, 1. polugodište;Zvonimir Šikić, Rebeka Kalazić, Snježana Lukač, Božena Palanović;udžbenik sa zbirkom zadataka;72,00;PROFIL;Novo;1. razred srednje škole
5099;MATEMATIKA 1 : udžbenik i zbirka zadataka iz matematike za prvi razred gimnazije i tehničke škole, 2. polugodište;Zvonimir Šikić, Rebeka Kalazić, Snježana Lukač, Božena Palanović;udžbenik sa zbirkom zadataka;72,00;PROFIL;Novo;1. razred srednje škole
FIZIKA - DVOGODIŠNJI I TROGODIŠNJI STRUKOVNI PROGRAM ;;;;;;;
3123;FIZIKA 1 : udžbenik za 1. razred srednjih škola s trogodišnjim programom fizike;Tatjana Roginić;udžbenik;108,00;ŠK;;1. razred srednje škole
KEMIJA - ZA JEDNOGODIŠNJE PROGRAME ;;;;;;;
1652;KEMIJA OKO NAS : udžbenik za strukovne škole s jednogodišnjim programom kemije;Mira Herak, Blanka Sever, Biserka Zdjelarević;udžbenik;99,00;PROFIL;;1. razred srednje škole
POVIJEST - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1691;HRVATSKA I SVIJET 1 : udžbenik povijesti za 1. razred četverogodišnjih strukovnih škola;Zdenko Samaržija;udžbenik;97,00;ŠK;;1. razred srednje škole
TEHNIČKE ŠKOLE - PODRUČJE STROJARSTVA ;;;;;;;
3107;TEHNOLOGIJA OBRADE I MONTAŽE : radna bilježnica za 1. razred trogodišnjih strukovnih škola;Antun Babić, Jozo Jurkić, Josip Lolić;radna bilježnica;67,00;ŠK;;1. razred srednje škole
4746;TEHNIČKA MEHANIKA - STATIKA I KINEMATIKA : udžbenik za 1. razred strojarskih tehničkih škola;Boris Kulišić;udžbenik;140,00;ELEMENT;Novo;1. razred srednje škole
1255;TEHNOLOGIJA OBRADE I MONTAŽE : udžbenik za 1. razred srednjih strojarskih, obrtničkih i industrijskih škola;Antun Babić;udžbenik;104,00;ŠK;;1. razred srednje škole
TROGODIŠNJE STROJARSKE STRUKOVNE ŠKOLE - JMO ;;;;;;;
1262;OSNOVE TEHNIČKE MEHANIKE 1 : radna bilježnica za 1. i 2. razred trogodišnjih strukovnih škola (JMO);Branko Maković, Branko Pasanović, Vicko Šutalo;radna bilježnica;93,45;NEODIDACTA;;1. razred srednje škole
1263;OSNOVE TEHNIČKE MEHANIKE 1 : udžbenik s multimedijskim sadržajem za 1. i 2. razred trogodišnjih strukovnih škola (JMO);Branko Maković, Branko Pasanović, Vicko Šutalo;udžbenik s multimedijskim sadržajem;139,65;NEODIDACTA;;1. razred srednje škole
Automehatroničar - JMO - 2. razred srednje škole ;;;;;;;
